Price,Close,High,Low,Open,Volume
Ticker,SUZLON.NS,SUZLON.NS,SUZLON.NS,SUZLON.NS,SUZLON.NS
Date,,,,,
2025-01-01,65.33000183105469,65.33000183105469,62.06999969482422,62.63999938964844,62229972
2025-01-02,62.91999816894531,65.0999984741211,62.54999923706055,65.0,67889756
2025-01-03,61.95000076293945,63.25,61.79999923706055,63.0,42686992
2025-01-06,58.849998474121094,62.119998931884766,58.849998474121094,62.04999923706055,62445389
2025-01-07,60.880001068115234,61.790000915527344,58.060001373291016,58.060001373291016,59115926
2025-01-08,60.029998779296875,61.0,59.0,60.79999923706055,37159538
2025-01-09,57.880001068115234,60.349998474121094,57.650001525878906,60.34000015258789,35053006
2025-01-10,55.56999969482422,58.150001525878906,55.5,58.0,64397011
2025-01-13,54.45000076293945,57.0,53.97999954223633,54.5,92083914
2025-01-14,57.16999816894531,57.16999816894531,55.11000061035156,55.20000076293945,41045252
2025-01-15,57.2599983215332,59.79999923706055,56.810001373291016,57.16999816894531,65243228
2025-01-16,56.869998931884766,59.189998626708984,56.70000076293945,58.7599983215332,39797323
2025-01-17,56.84000015258789,57.38999938964844,55.939998626708984,57.0,41806502
2025-01-20,58.09000015258789,58.790000915527344,56.2599983215332,57.52000045776367,49547406
2025-01-21,57.43000030517578,58.470001220703125,56.349998474121094,58.349998474121094,33972001
2025-01-22,55.119998931884766,57.84000015258789,54.54999923706055,57.43000030517578,48986568
2025-01-23,54.310001373291016,56.63999938964844,54.189998626708984,55.119998931884766,49582278
2025-01-24,52.540000915527344,54.9900016784668,52.150001525878906,54.900001525878906,64210167
2025-01-27,50.22999954223633,52.47999954223633,49.90999984741211,52.400001525878906,66288203
2025-01-28,50.2599983215332,51.59000015258789,47.810001373291016,50.59000015258789,86563217
2025-01-29,52.77000045776367,52.77000045776367,52.77000045776367,52.77000045776367,13990368
2025-01-30,55.400001525878906,55.400001525878906,55.400001525878906,55.400001525878906,10961611
2025-01-31,58.16999816894531,58.16999816894531,56.54999923706055,57.0,111500110
2025-02-01,58.15999984741211,61.06999969482422,56.5099983215332,60.5,168912946
2025-02-03,56.369998931884766,59.099998474121094,55.40999984741211,57.779998779296875,93425367
2025-02-04,56.91999816894531,57.97999954223633,55.959999084472656,57.189998626708984,42367489
2025-02-05,55.900001525878906,57.77000045776367,55.77000045776367,57.2400016784668,37787329
